EdgeStatsReport
SVGenTotalHours	0.0025h wall, 0.0008h user + 0.0000h system = 0.0008h CPU (31.27%)
NonEdgeHours	0.0024h wall, 0.0007h user + 0.0000h system = 0.0007h CPU (30.62%)

[AllEdges]
InputEdgeCount	3
InputEdgeCandidatesPerEdge:
0	1
1	2
2	0
3	0
4	0
5+	0
CandidateCount	2
ComplexCandidateCount	1
EdgeFilter	1
SemiMappedFilter	0
ComplexLowCountFilter	1
ComplexLowSignalFilter	0
UnmatchedReadPairFilter	0
SpanningComplexCandidateFiltered	0
JunctionAssemblyOverlapSkipped	0
JunctionCount	2
ComplexJunctionCount	1
BreaksPerJunction:
0	0
1	2
2	0
3+	0
TotalAssemblyCandidates	1
TotalSpanningAssemblyCandidates	1
AssemblyCandidatesPerJunction:
0	1
1	1
2	0
3	0
4	0
5+	0
totalHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (64.91%)
totalSecsPerEdge	0.0565s wall, 0.0333s user + 0.0033s system = 0.0367s CPU (64.91%)
totalSecsPerCand	0.0847s wall, 0.0500s user + 0.0050s system = 0.0550s CPU (64.91%)
candiHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (76.11%)
candiSecsPerEdge	0.0088s wall, 0.0067s user + 0.0000s system = 0.0067s CPU (76.11%)
candiSecsPerCand	0.0131s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (76.11%)
assemHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (72.00%)
assemSecsPerEdge	0.0185s wall, 0.0133s user + 0.0000s system = 0.0133s CPU (72.00%)
assemSecsPerCand	0.0278s wall, 0.0200s user + 0.0000s system = 0.0200s CPU (72.00%)
scoreHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (57.12%)
scoreSecsPerEdge	0.0292s wall, 0.0133s user + 0.0033s system = 0.0167s CPU (57.12%)
scoreSecsPerCand	0.0438s wall, 0.0200s user + 0.0050s system = 0.0250s CPU (57.12%)
nocatHours	0.0000h wall, -0.0000h user + 0.0000h system = -0.0000h CPU (-0.00%)
nocatSecsPerEdge	0.0000s wall, -0.0000s user + 0.0000s system = -0.0000s CPU (-0.00%)
nocatSecsPerCand	0.0000s wall, -0.0000s user + 0.0000s system = -0.0000s CPU (-0.00%)

[RemoteEdges]
InputEdgeCount	2
InputEdgeCandidatesPerEdge:
0	1
1	1
2	0
3	0
4	0
5+	0
CandidateCount	1
ComplexCandidateCount	0
EdgeFilter	1
SemiMappedFilter	0
ComplexLowCountFilter	0
ComplexLowSignalFilter	0
UnmatchedReadPairFilter	0
SpanningComplexCandidateFiltered	0
JunctionAssemblyOverlapSkipped	0
JunctionCount	1
ComplexJunctionCount	0
BreaksPerJunction:
0	0
1	1
2	0
3+	0
TotalAssemblyCandidates	1
TotalSpanningAssemblyCandidates	1
AssemblyCandidatesPerJunction:
0	0
1	1
2	0
3	0
4	0
5+	0
totalHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (68.24%)
totalSecsPerEdge	0.0733s wall, 0.0450s user + 0.0050s system = 0.0500s CPU (68.24%)
totalSecsPerCand	0.1465s wall, 0.0900s user + 0.0100s system = 0.1000s CPU (68.24%)
candiHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (100.46%)
candiSecsPerEdge	0.0100s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (100.46%)
candiSecsPerCand	0.0199s wall, 0.0200s user + 0.0000s system = 0.0200s CPU (100.46%)
assemHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (76.87%)
assemSecsPerEdge	0.0195s wall, 0.0150s user + 0.0000s system = 0.0150s CPU (76.87%)
assemSecsPerCand	0.0390s wall, 0.0300s user + 0.0000s system = 0.0300s CPU (76.87%)
scoreHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (57.12%)
scoreSecsPerEdge	0.0438s wall, 0.0200s user + 0.0050s system = 0.0250s CPU (57.12%)
scoreSecsPerCand	0.0875s wall, 0.0400s user + 0.0100s system = 0.0500s CPU (57.12%)
nocatHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (0.00%)
nocatSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
nocatSecsPerCand	0.0001s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)

[SelfEdges]
InputEdgeCount	1
InputEdgeCandidatesPerEdge:
0	0
1	1
2	0
3	0
4	0
5+	0
CandidateCount	1
ComplexCandidateCount	1
EdgeFilter	0
SemiMappedFilter	0
ComplexLowCountFilter	1
ComplexLowSignalFilter	0
UnmatchedReadPairFilter	0
SpanningComplexCandidateFiltered	0
JunctionAssemblyOverlapSkipped	0
JunctionCount	1
ComplexJunctionCount	1
BreaksPerJunction:
0	0
1	1
2	0
3+	0
TotalAssemblyCandidates	0
TotalSpanningAssemblyCandidates	0
AssemblyCandidatesPerJunction:
0	1
1	0
2	0
3	0
4	0
5+	0
totalHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (43.63%)
totalSecsPerEdge	0.0229s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (43.63%)
totalSecsPerCand	0.0229s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (43.63%)
candiHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (0.00%)
candiSecsPerEdge	0.0064s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
candiSecsPerCand	0.0064s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
assemHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (60.51%)
assemSecsPerEdge	0.0165s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (60.51%)
assemSecsPerCand	0.0165s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (60.51%)
scoreHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (0.00%)
scoreSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
scoreSecsPerCand	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
nocatHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (0.00%)
nocatSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
nocatSecsPerCand	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
